start time [m]; Treppe client 0
0,49; 0,122
1,16; 0,25
1,4; 0,25
1,58; 0,25
2,114; 0,278
2,311; 0,328
2,442; 0,361
2,778; 0,444
2,908; 0,477
3; 0,5
3,27; 0,5
3,39; 0,5
3,48; 0,5
3,75; 0,5
3,87; 0,5
3,96; 0,5
4,218; 0,555
4,324; 0,581
4,4; 0,6
4,615; 0,654
4,706; 0,676
4,771; 0,693
4,96; 0,74
5,04; 0,75
5,1; 0,75
5,28; 0,75
5,36; 0,75
5,42; 0,75
5,6; 0,75
5,68; 0,75
5,74; 0,75
5,92; 0,75
6; 0,75
6,059; 0,765
6,231; 0,808
6,305; 0,826
6,359; 0,84
6,516; 0,879
6,583; 0,896
6,633; 0,908
6,779; 0,945
6,842; 0,96
6,888; 0,972
7,025; 1
7,085; 1
7,13; 1
7,265; 1
7,325; 1
7,37; 1
7,505; 1
7,565; 1
7,61; 1
7,745; 1
7,805; 1
7,85; 1
7,985; 1
8,046; 0,954
8,094; 0,906
8,258; 0,742
8,344; 0,656
8,417; 0,583
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
0; 0
